,precision,recall,f1-score,support
0,0.3333333333333333,0.32,0.32653061224489793,25.0
1,0.5777777777777777,0.6046511627906976,0.5909090909090908,43.0
2,0.3888888888888889,0.3684210526315789,0.37837837837837834,38.0
3,0.22857142857142856,0.26666666666666666,0.24615384615384614,30.0
4,0.7777777777777778,0.4883720930232558,0.6000000000000001,43.0
5,0.46875,0.4166666666666667,0.4411764705882353,36.0
6,0.5,0.3225806451612903,0.39215686274509803,31.0
7,0.42028985507246375,0.6904761904761905,0.5225225225225225,42.0
accuracy,0.4548611111111111,0.4548611111111111,0.4548611111111111,0.4548611111111111
macro avg,0.46192363267770875,0.4347293096770433,0.43722847294275863,288.0
weighted avg,0.4801538776742581,0.4548611111111111,0.4552795542028735,288.0
